index,hash,key,description,english value,translated value
14,f9ad3486e52ab51983a53bf2210ce062,"['accountSettingsWindow', 'linkAccountsInstructionsNewText']",,"To link two accounts, generate a code on the first
and enter that code on the second.  Data from the
second account will then be shared between both.
(Data from the first account will be lost)

You can link up to ${COUNT} accounts.

IMPORTANT: only link accounts that you own;
If you link with friends’ accounts you will not
be able to play online at the same time.","Yhdistääksesi kaksi käyttäjää, luo koodi ensimmäisellä käyttäjällä ja kirjoita tuo koodi toisella käyttäjällä. Data toiselta käyttäjältä jaetaan molempien välillä. (Data ensimmäiseltä käyttäjältä katoaa)

Pystyt yhdistämään ${COUNT} käyttäjää.

TÄRKEÄÄ: yhdistä vain käyttäjiä jotka omistat; Jos yhdistät käyttäjäsi kaverisi käyttäjän kanssa, et pysty pelaamaan netissä samaan aikaan."
15,5ab37586276a6d4a476d2cfa6124e57f,"['accountSettingsWindow', 'linkAccountsText']","Name for an option to link two accounts together, sharing progress and inventory between them.",Link Accounts,Yhdistä käyttäjät
16,b44f7344ce0db7a20bcbad2da8a4c38f,"['accountSettingsWindow', 'linkedAccountsText']","Title for a list of accounts a player has linked together (account linking allows, for example, connecting a Google Play account to a GameCenter one to share progress)",Linked Accounts:,Yhdistetyt käyttäjät:
17,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'manageAccountText']",,Manage Account,Hallinnoi tiliä
18,6e352f381ea752d47a962de1a59b146b,"['accountSettingsWindow', 'nameChangeConfirm']",a confirmation that is shown when the user is about to change their account name,Change your account name to ${NAME}?,Vaihda käyttäjäsi nimeksi ${NAME}?
19,78171d535a4ada50792341ac04ff6d13,"['accountSettingsWindow', 'resetProgressConfirmNoAchievementsText']",warning shown when resetting progress on systems that cannot reset achievements (only campaign progress and scores),"This will reset your co-op progress and
local high-scores (but not your tickets).
This cannot be undone. Are you sure?","Tämä nollaa sinun yhteistyö etenemisesi
ja paikalliset ennätykset (muttei lippujasi).
tätä ei voi kumota. Oletko varma?"
20,b4b7c692a2687839de30ed9c18886c31,"['accountSettingsWindow', 'resetProgressConfirmText']","warning shown when resetting progress (achievements, campaign progress, and scores)","This will reset your co-op progress,
achievements, and local high-scores
(but not your tickets). This cannot
be undone. Are you sure?","Tämä nollaa sinun yhteistyö etenemisesi,
saavutuksesi, ja paikalliset ennätykset
(mutta ei lippujasi). Tätä ei voi kumota.
Oletko varma?"
21,185ecff65f3423fa1498942234161805,"['accountSettingsWindow', 'resetProgressText']",title for the button to reset game progress,Reset Progress,Nollaa eteneminen
22,c21163c724d99f5c35db1b8fc200a3b3,"['accountSettingsWindow', 'setAccountName']",label text for the button to change your account name,Set Account Name,Aseta käyttäjänimi
23,798c7e8732cf24ea55239756876e2977,"['accountSettingsWindow', 'setAccountNameDesc']",description shown in the set-account-name window explaining that the user can select one of their linked account names or else set a custom name of their own,"Select the name to display for your account.
You can use the name from one of your linked
accounts or create a unique custom name.","Valitse nimi joka näytetään käyttäjälläsi.
Pystyt käyttämään nimeä yhdeltä yhdistetyistä
käyttäjistäsi tai luo uusi käyttäjänimi."
24,fcd257bf823972127eb27592dfa82aae,"['accountSettingsWindow', 'signingInText']","shown while a sign-in is in progress (to Game-Center, Google Play, etc)",Signing in...,Kirjaudutaan sisään...
25,6c79e1d97b7b55c03bf0689e13a3ec40,"['accountSettingsWindow', 'signingOutText']","shown while a sign-out is in progress (from Game-Center, Google Play, etc)",Signing out...,Kirjaudutaan ulos...
26,d93dd42b0c0e3db9ad8479aefbe6176e,"['accountSettingsWindow', 'signInInfoText']","shown in the account window to describe why you might want to sign in (to GameCenter, Google Play, etc)
Context Image: http://files.froemling.net/translateGuideImages/signInNew.png","Sign in to collect tickets, compete online,
and share progress across devices.","Kirjaudu sisään kerätäksesi lippuja,
taistellaksesi netissä ja jakaaksesi etenemisesi eri laitteilla."
27,634983f425e586cdfe14c715fabae635,"['accountSettingsWindow', 'signInText']","shown on the button to sign in to your account (Game-Center, Google Play, etc)
Context Image: http://files.froemling.net/translateGuideImages/signIn.png",Sign In,Kirjaudu sisään
28,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'signInWithAnEmailAddressText']",,Sign in with an email address,Kirjaudu sisään sähköpostiosoitteella
29,a31226932bf783fd772bff5b914dfda6,"['accountSettingsWindow', 'signInWithDeviceInfoText']","Describes the device account (a hardware-specific account with a name like Android3044, Mac1433, PC5034, etc.)
Context Image: http://files.froemling.net/translateGuideImages/signInNew.png",(an automatic account only available from this device),(automaattinen käyttäjä ainoastaan käytettävissä tällä laitteella)
30,01903ec73a0bec6a46fa5041de5514be,"['accountSettingsWindow', 'signInWithDeviceText']",,Sign in with device account,Kirjaudu sisään laitteen käyttäjällä
31,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'signInWithText']",,Sign in with ${SERVICE},Kirjaudu sisään tilillä ${SERVICE}
32,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'signInWithV2InfoText']",,(an account that works on all platforms),"(tili, joka toimii kaikilla alustoilla)"
33,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'signInWithV2Text']",,Sign in with a ${APP_NAME} account,Kirjaudu sisään ${APP_NAME}-tilillä
34,7f85aec86e10e76eed96e34b4485e1bd,"['accountSettingsWindow', 'signOutText']","shown on the button to sign out of your account (Game-Center, Google Play, etc)
Context Image: http://files.froemling.net/translateGuideImages/signOut.png",Sign Out,Kirjaudu ulos
35,8470cb94e4fa6dece4d5d6be77eea28b,"['accountSettingsWindow', 'ticketsText']","for showing how many tickets an account has (tickets are BombSquad's in-game currency)
Context Image: http://files.froemling.net/translateGuideImages/signOut.png",Tickets: ${COUNT},Lippuja: ${COUNT}
36,884a1de4d3195f10985afac09db0aa6d,"['accountSettingsWindow', 'titleText']","title for the window that shows your GameCenter / GameCircle /etc info, game progress, etc",Account,Tili
37,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'unlinkAccountsInstructionsText']",,Select an account to unlink,"Valitse tili, jonka linkitys poistetaan"
38,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'unlinkAccountsText']",,Unlink Accounts,Poista tilien linkitys
39,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'unlinkLegacyV1AccountsText']",,Unlink Legacy (V1) Accounts,Poista vanhojen (V1) tilien linkitys
40,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'v2LinkInstructionsText']","Text above a website link which can be used to create or sign into a new style (v2) BombSqud account
Context Image: http://files.froemling.net/translateGuideImages/v2link.png",Use this link to create an account or sign in.,Käytä tätä linkkiä luodaksesi tilin tai kirjautuaksesi sisään.
41,d41d8cd98f00b204e9800998ecf8427e,"['accountSettingsWindow', 'viaAccount']","when a user is signed in with a custom account name, their custom account name is shown followed by this bit showing the actual account they signed in with.  Example:  ""You are signed in as: MyAwesomeCustomAccountName (via account MyGoogleAccount)""",(via account ${NAME}),(tilin ${NAME} kautta)
42,e5eaeda69b42ef6902d6d3e767b41c2e,"['accountSettingsWindow', 'youAreSignedInAsText']","used at the top of the account window; shows the Game-Center/Google Play/etc account you are using
Context Image: http://files.froemling.net/translateGuideImages/signOut.png",You are signed in as:,Olet kirjautunut käyttäjänä:
43,e71726699ba14ca1b1982552ca10e325,['achievementChallengesText'],title for Game-Center challenges relating to achievements,Achievement Challenges,Palkintohaasteet
44,9c2ffe4c1163bd3a2454af649604fd6e,"['achievements', 'Boom Goes the Dynamite', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Kill 3 bad guys with TNT,Tapa 3 pahaa tyyppiä TNT:llä
45,a7bddfc93bd36321002641cfce8dab14,"['achievements', 'Boom Goes the Dynamite', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Killed 3 bad guys with TNT,Tapettu 3 pahaa tyyppiä TNT:llä
46,725ceed59f917b5108d26cbfe88570a8,"['achievements', 'Boom Goes the Dynamite', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Kill 3 bad guys with TNT on ${LEVEL},Tapa 3 pahaa tyyppiä TNT:llä ${LEVEL}
47,9489d495709922392db2e718d830dbd1,"['achievements', 'Boom Goes the Dynamite', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Killed 3 bad guys with TNT on ${LEVEL},Tapettu 3 pahaa tyyppiä TNT:llä ${LEVEL}
48,2177f487b32c38306aff86dcf6f249cf,"['achievements', 'Boom Goes the Dynamite', 'name']",Name of this achievement.,Boom Goes the Dynamite,Räjähdys alkaa dynamiitista
49,9bea4203a1b8ea395f579c5f5535ef59,"['achievements', 'Boxer', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Win without using any bombs,Voita ilman pommeja
50,0f9206cc6c26331ac5233da4ed072e06,"['achievements', 'Boxer', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Won without using any bombs,Voitettu ilman pommeja
51,fc099165872b933580234eb335d93f66,"['achievements', 'Boxer', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Complete ${LEVEL} without using any bombs,Suorita taso ${LEVEL} ilman pommeja
52,0148404faec4109a397ac01570a3f6b6,"['achievements', 'Boxer', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Completed ${LEVEL} without using any bombs,Suoritettu taso ${LEVEL} ilman pommeja
53,32ba7e3465485370e10be35d120dfe45,"['achievements', 'Boxer', 'name']",Name of this achievement.,Boxer,Nyrkkeilijä
54,d41d8cd98f00b204e9800998ecf8427e,"['achievements', 'Dual Wielding', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Connect 2 controllers (hardware or app),Yhdistä 2 ohjainta (laitteisto tai sovellus)
55,d41d8cd98f00b204e9800998ecf8427e,"['achievements', 'Dual Wielding', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Connected 2 controllers (hardware or app),Yhdistetty 2 ohjainta (laitteisto tai sovellus)
56,d41d8cd98f00b204e9800998ecf8427e,"['achievements', 'Dual Wielding', 'name']",Name of this achievement.,Dual Wielding,Kaksoiskäyttö
57,f354bdeabe0292086be4af667bf3d825,"['achievements', 'Flawless Victory', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Win without getting hit,Voita ilman vihollisen osumaa
58,2f5a40843824b0c34d7c470d00593a59,"['achievements', 'Flawless Victory', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Won without getting hit,Voitettu ilman vihollisen osumaa
59,2b9bf647897c6c08130d21edf43e982d,"['achievements', 'Flawless Victory', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Win ${LEVEL} without getting hit,Voita taso ${LEVEL} ilman vihollisen osumaa
60,d0fad7a3ec431a31bc2fab00efaeabf1,"['achievements', 'Flawless Victory', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Won ${LEVEL} without getting hit,Voitettu taso ${LEVEL} ilman vihollisen osumaa
61,dc7a2de4cc32b5f204d5d65faa9a0b38,"['achievements', 'Flawless Victory', 'name']",Name of this achievement.,Flawless Victory,Vahingoton voitto
62,d41d8cd98f00b204e9800998ecf8427e,"['achievements', 'Free Loader', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Start a Free-For-All game with 2+ players,Aloita ilmainen kaikille -peli 2+ pelaajalla
63,d41d8cd98f00b204e9800998ecf8427e,"['achievements', 'Free Loader', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Started a Free-For-All game with 2+ players,Aloitti Free-For-All-pelin 2+ pelaajalla
64,d41d8cd98f00b204e9800998ecf8427e,"['achievements', 'Free Loader', 'name']",Name of this achievement.,Free Loader,Ilmainen latauslaite
65,3e9cd9c73b093fe8de0df490a4bdb23d,"['achievements', 'Gold Miner', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Kill 6 bad guys with land-mines,Tapa 6 pahaa tyyppiä maamiinoilla
66,d2433e0200eaaae9c3e4b40e33c86ebe,"['achievements', 'Gold Miner', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Killed 6 bad guys with land-mines,Tapettu 6 pahaa tyyppiä maamiinoilla
67,bc43daa1307a9930af0e77ae429e29fe,"['achievements', 'Gold Miner', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Kill 6 bad guys with land-mines on ${LEVEL},Tapa 6 pahaa tyyppiä maamiinoilla tasolla ${LEVEL}
68,a2d9316c3ad260c358a81537d1467922,"['achievements', 'Gold Miner', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Killed 6 bad guys with land-mines on ${LEVEL},Tapettu 6 pahaa tyyppiä maamiinoilla tasolla ${LEVEL}
69,4e3ffd55cd6887784751e4a11a8c1eef,"['achievements', 'Gold Miner', 'name']",Name of this achievement.,Gold Miner,Kullankaivaja
70,dd450e3ba3cd54294787132729215b82,"['achievements', 'Got the Moves', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Win without using punches or bombs,Voita ilman nyrkkejä tai pommeja
71,afe23ad9633dd036aa7b785ce8a5fcb4,"['achievements', 'Got the Moves', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Won without using punches or bombs,Voitettu ilman nyrkkejä tai pommeja
72,1ec10436b36e743dac9522f0df3e29aa,"['achievements', 'Got the Moves', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Win ${LEVEL} without any punches or bombs,Voita taso ${LEVEL} ilman nyrkkejä tai pommeja
73,ca6364f8e7d1c0fe81073ea6fb02b471,"['achievements', 'Got the Moves', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Won ${LEVEL} without any punches or bombs,Voitettu taso ${LEVEL} ilman nyrkkejä tai pommeja
74,e331ce75fdc0867990fb8becd569e84a,"['achievements', 'Got the Moves', 'name']",Name of this achievement.,Got the Moves,Ymmärsin liikkeet
75,d41d8cd98f00b204e9800998ecf8427e,"['achievements', 'In Control', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Connect a controller (hardware or app),Yhdistä ohjain (laitteisto tai sovellus)
76,d41d8cd98f00b204e9800998ecf8427e,"['achievements', 'In Control', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Connected a controller. (hardware or app),Ohjain liitetty. (laitteisto tai sovellus)
77,d41d8cd98f00b204e9800998ecf8427e,"['achievements', 'In Control', 'name']",Name of this achievement.,In Control,Ohjauksessa
78,2258d63365202511eb3429bdda06c32f,"['achievements', 'Last Stand God', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Score 1000 points,Kerää 1000 pistettä
79,6b7f6b8b0f764e34bd32278873309658,"['achievements', 'Last Stand God', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Scored 1000 points,Kerätty 1000 pistettä
80,b4306231030650c67476d2a593e776d1,"['achievements', 'Last Stand God', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Score 1000 points on ${LEVEL},Kerää 1000 pistettä tasolla ${LEVEL}
81,412bb5a1add089c5551792424f35818e,"['achievements', 'Last Stand God', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Scored 1000 points on ${LEVEL},Kerätty 1000 pistettä tasolla ${LEVEL}
82,653113e721fb87fb8518072216edfa96,"['achievements', 'Last Stand God', 'name']",Name of this achievement.,${LEVEL} God,${LEVEL} Jumala
83,2acf736fa4798706117a83bd919c0ab8,"['achievements', 'Last Stand Master', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Score 250 points,Kerää 250 pistettä
84,01bb71dcc3f20e99c0679a3f766efca5,"['achievements', 'Last Stand Master', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Scored 250 points,Kerätty 250 pistettä
85,b6b66028651486559060cd04b873ca6b,"['achievements', 'Last Stand Master', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Score 250 points on ${LEVEL},Kerää 250 pistettä tasolla ${LEVEL}
86,770da3da8bc964103a88c40474082c63,"['achievements', 'Last Stand Master', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Scored 250 points on ${LEVEL},Kerätty 250 pistettä tasolla ${LEVEL}
87,55aa9eb13a7f85f4cf3b765b2dab33e9,"['achievements', 'Last Stand Master', 'name']",Name of this achievement.,${LEVEL} Master,${LEVEL} Mestari
88,6ea62c48d482a9ca49490f3f466fed22,"['achievements', 'Last Stand Wizard', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Score 500 points,Kerää 500 pistettä
89,49a71769931b8bc41ef04b6c518d49e9,"['achievements', 'Last Stand Wizard', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Scored 500 points,Kerätty 500 pistettä
90,c967434fbf6781b7c0ee22191dd390c6,"['achievements', 'Last Stand Wizard', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Score 500 points on ${LEVEL},Kerää 500 pistettä tasolla ${LEVEL}
91,13e1edd4b5d47506e618172f78b4c6c5,"['achievements', 'Last Stand Wizard', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Scored 500 points on ${LEVEL},Kerätty 500 pistettä tasolla ${LEVEL}
92,4a11a9ad19e3165181f6c268ad4118e8,"['achievements', 'Last Stand Wizard', 'name']",Name of this achievement.,${LEVEL} Wizard,${LEVEL} Velho
93,5f178bc2a2d83b8fa41e77b6e8d754b8,"['achievements', 'Mine Games', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Kill 3 bad guys with land-mines,Tapa 3 pahaa tyyppiä maamiinoilla
94,7ba134378a6e17b64e3eb3829eed92f4,"['achievements', 'Mine Games', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Killed 3 bad guys with land-mines,Tapettu 3 pahaa tyyppiä maamiinoilla
95,b6f10ee5699cf6d586f1bae83c630a37,"['achievements', 'Mine Games', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Kill 3 bad guys with land-mines on ${LEVEL},Tapa 3 pahaa tyyppiä maamiinoilla tasolla ${LEVEL}
96,f75f7029cc56f971713c853bd9d9929b,"['achievements', 'Mine Games', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Killed 3 bad guys with land-mines on ${LEVEL},Tapettu 3 pahaa tyyppiä tasolla ${LEVEL}
97,1b1b2dc24d7ab0cee5d9db5e2aa2f615,"['achievements', 'Mine Games', 'name']",Name of this achievement.,Mine Games,Miinapelit
98,f2a29a6f6bdc10ad0b2ad1e81f244d29,"['achievements', 'Off You Go Then', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Toss 3 bad guys off the map,Nakkaa 3 pahaa tyyppiä ulos kartalta
99,a090df11876611e49bd4318fa731d7aa,"['achievements', 'Off You Go Then', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Tossed 3 bad guys off the map,Nakattu 3 pahaa tyyppiä pois kartalta
100,f232d38a3646c4eb9a009086938abb44,"['achievements', 'Off You Go Then', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Toss 3 bad guys off the map in ${LEVEL},Nakkaa 3 pahaa tyyppiä ulos kartalta tasolla ${LEVEL}
101,0e14e156f86e4666022569a8f8255eb9,"['achievements', 'Off You Go Then', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Tossed 3 bad guys off the map in ${LEVEL},Nakattu 3 pahaa tyyppiä ulos kartalta tasolla ${LEVEL}
102,b1f657c2b766ea1aaa9aff76baada3e7,"['achievements', 'Off You Go Then', 'name']",Name of this achievement.,Off You Go Then,Hei hei
103,8dccb89854db365ad27fbd1b4850e511,"['achievements', 'Onslaught God', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Score 5000 points,Kerää 5000 pistettä
104,7ffde2924957e7259803721b9e6f57ac,"['achievements', 'Onslaught God', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Scored 5000 points,Kerätty 5000 pistettä
105,7fa2dc63d92cd92550f87e4a043923f6,"['achievements', 'Onslaught God', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Score 5000 points on ${LEVEL},Kerää 5000 pistettä tasolla ${LEVEL}
106,d1fdf3a788512699a394c73905a07716,"['achievements', 'Onslaught God', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Scored 5000 points on ${LEVEL},Kerätty 5000 pistettä tasolla ${LEVEL}
107,653113e721fb87fb8518072216edfa96,"['achievements', 'Onslaught God', 'name']",Name of this achievement.,${LEVEL} God,${LEVEL} Jumala
108,6ea62c48d482a9ca49490f3f466fed22,"['achievements', 'Onslaught Master', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Score 500 points,Kerää 500 pistettä
109,49a71769931b8bc41ef04b6c518d49e9,"['achievements', 'Onslaught Master', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Scored 500 points,Kerätty 500 pistettä
110,c967434fbf6781b7c0ee22191dd390c6,"['achievements', 'Onslaught Master', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Score 500 points on ${LEVEL},Kerää 500 pistettä tasolla ${LEVEL}
111,13e1edd4b5d47506e618172f78b4c6c5,"['achievements', 'Onslaught Master', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Scored 500 points on ${LEVEL},Kerätty 500 pistettä tasolla ${LEVEL}
112,55aa9eb13a7f85f4cf3b765b2dab33e9,"['achievements', 'Onslaught Master', 'name']",Name of this achievement.,${LEVEL} Master,${LEVEL} Mestari
113,d1bd9cbc0bb67aff2b9f637847522319,"['achievements', 'Onslaught Training Victory', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Defeat all waves,Voita kaikki aallot
114,d7efa934811ef806b19d0fe0e5b69deb,"['achievements', 'Onslaught Training Victory', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Defeated all waves,Voitettu kaikki aallot
115,52ec2b062d4715ab996693e002f04139,"['achievements', 'Onslaught Training Victory', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Defeat all waves in ${LEVEL},Voita kaikki aallot tasolla ${LEVEL}
116,d5fe88fa4f9fdae597f50f5c23c062d7,"['achievements', 'Onslaught Training Victory', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Defeated all waves in ${LEVEL},Voitettu kaikki aallot tasolla ${LEVEL}
117,3219d38f9ed8b038fa096375806b66cf,"['achievements', 'Onslaught Training Victory', 'name']",Name of this achievement.,${LEVEL} Victory,${LEVEL} Voitto
118,2258d63365202511eb3429bdda06c32f,"['achievements', 'Onslaught Wizard', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Score 1000 points,Kerää 1000 pistettä
119,6b7f6b8b0f764e34bd32278873309658,"['achievements', 'Onslaught Wizard', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Scored 1000 points,Kerätty 1000 pistettä
120,b4306231030650c67476d2a593e776d1,"['achievements', 'Onslaught Wizard', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Score 1000 points in ${LEVEL},Kerää 1000 pistettä tasolla ${LEVEL}
121,412bb5a1add089c5551792424f35818e,"['achievements', 'Onslaught Wizard', 'descriptionFullComplete']",shown in places like GameCenter or GameCircle when this achievement has been completed.,Scored 1000 points in ${LEVEL},Kerätty 1000 pistettä tasolla ${LEVEL}
122,4a11a9ad19e3165181f6c268ad4118e8,"['achievements', 'Onslaught Wizard', 'name']",Name of this achievement.,${LEVEL} Wizard,${LEVEL} Velho
123,ae01bd6d2065e04041794058f28db2dc,"['achievements', 'Precision Bombing', 'description']",shown in-game when this achievement is not yet complete; does not need to include the level name since it is shown *during* that level,Win without any powerups,Voita ilman lisävoimia
124,6bd13b97bfb17149decf1c2e198867d3,"['achievements', 'Precision Bombing', 'descriptionComplete']",shown in-game once this achievement has been completed; does not need to include the level name since it is shown *during* that level,Won without any powerups,Voitettu ilman lisävoimia
125,7f69e5f8dab9f5a1a804f73fe7105643,"['achievements', 'Precision Bombing', 'descriptionFull']",shown in places like GameCenter or GameCircle when this achievement is not yet complete.,Win ${LEVEL} without any power-ups,Voita taso ${LEVEL} ilman lisävoimia
